Date,Year,MonthNo,Month,QuarterNo,Quarter,Day
1899-01-01 00:00:00.000,1899,1,"January",1,"Qtr 1",1
1899-01-02 00:00:00.000,1899,1,"January",1,"Qtr 1",2
1899-01-03 00:00:00.000,1899,1,"January",1,"Qtr 1",3
1899-01-04 00:00:00.000,1899,1,"January",1,"Qtr 1",4
1899-01-05 00:00:00.000,1899,1,"January",1,"Qtr 1",5
1899-01-06 00:00:00.000,1899,1,"January",1,"Qtr 1",6
1899-01-07 00:00:00.000,1899,1,"January",1,"Qtr 1",7
1899-01-08 00:00:00.000,1899,1,"January",1,"Qtr 1",8
1899-01-09 00:00:00.000,1899,1,"January",1,"Qtr 1",9
1899-01-10 00:00:00.000,1899,1,"January",1,"Qtr 1",10
1899-01-11 00:00:00.000,1899,1,"January",1,"Qtr 1",11
1899-01-12 00:00:00.000,1899,1,"January",1,"Qtr 1",12
1899-01-13 00:00:00.000,1899,1,"January",1,"Qtr 1",13
1899-01-14 00:00:00.000,1899,1,"January",1,"Qtr 1",14
1899-01-15 00:00:00.000,1899,1,"January",1,"Qtr 1",15
1899-01-16 00:00:00.000,1899,1,"January",1,"Qtr 1",16
1899-01-17 00:00:00.000,1899,1,"January",1,"Qtr 1",17
1899-01-18 00:00:00.000,1899,1,"January",1,"Qtr 1",18
1899-01-19 00:00:00.000,1899,1,"January",1,"Qtr 1",19
1899-01-20 00:00:00.000,1899,1,"January",1,"Qtr 1",20
1899-01-21 00:00:00.000,1899,1,"January",1,"Qtr 1",21
1899-01-22 00:00:00.000,1899,1,"January",1,"Qtr 1",22
1899-01-23 00:00:00.000,1899,1,"January",1,"Qtr 1",23
1899-01-24 00:00:00.000,1899,1,"January",1,"Qtr 1",24
1899-01-25 00:00:00.000,1899,1,"January",1,"Qtr 1",25
1899-01-26 00:00:00.000,1899,1,"January",1,"Qtr 1",26
1899-01-27 00:00:00.000,1899,1,"January",1,"Qtr 1",27
1899-01-28 00:00:00.000,1899,1,"January",1,"Qtr 1",28
1899-01-29 00:00:00.000,1899,1,"January",1,"Qtr 1",29
1899-01-30 00:00:00.000,1899,1,"January",1,"Qtr 1",30
1899-01-31 00:00:00.000,1899,1,"January",1,"Qtr 1",31
1899-02-01 00:00:00.000,1899,2,"February",1,"Qtr 1",1
1899-02-02 00:00:00.000,1899,2,"February",1,"Qtr 1",2
1899-02-03 00:00:00.000,1899,2,"February",1,"Qtr 1",3
1899-02-04 00:00:00.000,1899,2,"February",1,"Qtr 1",4
1899-02-05 00:00:00.000,1899,2,"February",1,"Qtr 1",5
1899-02-06 00:00:00.000,1899,2,"February",1,"Qtr 1",6
1899-02-07 00:00:00.000,1899,2,"February",1,"Qtr 1",7
1899-02-08 00:00:00.000,1899,2,"February",1,"Qtr 1",8
1899-02-09 00:00:00.000,1899,2,"February",1,"Qtr 1",9
1899-02-10 00:00:00.000,1899,2,"February",1,"Qtr 1",10
1899-02-11 00:00:00.000,1899,2,"February",1,"Qtr 1",11
